#rho	velocity
1.8155	0.3500
2.1002	0.3630
1.8193	0.3370
2.1279	0.3593
1.8227	0.3245
2.1059	0.3568
1.8273	0.3167
2.1061	0.3510
1.8347	0.3050
2.1048	0.3465
1.8437	0.3007
2.1022	0.3445
1.8544	0.2980
1.8657	0.2925
1.8776	0.2880
1.8884	0.2870
1.8961	0.2877
1.7965	0.4172
1.8995	0.2918
1.8039	0.3965
1.8992	0.2982
1.8126	0.3718
1.8966	0.3050
1.8195	0.3470
1.8898	0.3118
1.8208	0.3248
1.8793	0.3170
1.8854	0.3055
1.8664	0.3218
1.8882	0.2895
1.8508	0.3292
1.9082	0.2745
1.8340	0.3370
1.9163	0.2638
1.8160	0.3452
1.9260	0.2588
1.7976	0.3535
1.9389	0.2597
1.7790	0.3625
1.9522	0.2643
1.7354	0.3660
1.9689	0.2727
1.7402	0.3685
1.9851	0.2840
1.7259	0.3675
2.0010	0.2937
1.7134	0.3680
2.0121	0.3085
1.7052	0.3692
2.0241	0.3235
1.6629	0.3718
2.0342	0.3387
1.6585	0.3747
2.0446	0.3552
1.6558	0.3760
2.0528	0.3705
2.0587	0.3815
2.0587	0.3882
2.0542	0.3915
2.0486	0.3915
2.0406	0.3912
2.0317	0.3875
2.0231	0.3830
2.0161	0.3813
2.0107	0.3782
2.0036	0.3770
1.9978	0.3773
1.9912	0.3785
1.9839	0.3817
1.9761	0.3860
1.9683	0.3905
1.9610	0.3930
1.9541	0.3957
1.9465	0.3945
1.9385	0.3970
1.8070	0.2765
1.9326	0.3987
1.8025	0.2785
1.9268	0.3997
1.7987	0.2790
1.9192	0.4012
1.7969	0.2802
1.9106	0.4032
1.7912	0.2848
1.8992	0.4095
1.7913	0.2870
1.8866	0.4160
1.7798	0.2912
1.8716	0.4247
1.8101	0.2973
1.8558	0.4350
1.8034	0.3068
1.8401	0.4478
1.7965	0.3185
1.8243	0.4575
1.7886	0.3357
1.8075	0.4683
1.7819	0.3527
1.7916	0.4797
1.7749	0.3723
1.7737	0.4933
1.7676	0.3913
1.7669	0.5065
1.7593	0.4077
1.7521	0.5157
1.7490	0.4260
1.7564	0.5245
1.7378	0.4390
1.7493	0.5340
1.7259	0.4523
1.7139	0.4585
1.7017	0.4612
1.6899	0.4575
1.6766	0.4538
1.6613	0.4452
1.6464	0.4345
1.6333	0.4233
1.6214	0.4098
1.6108	0.3980
1.6024	0.3877
1.5959	0.3828
1.5917	0.3820
1.5891	0.3842
1.5891	0.3900
1.5902	0.3978
1.5938	0.4087
1.5983	0.4225
1.6045	0.4362
1.6111	0.4560
1.6179	0.4740
1.6272	0.4890
1.6364	0.5003
1.6457	0.5097
1.6554	0.5147
1.5565	0.3780
1.6661	0.5168
1.5455	0.3953
1.6762	0.5130
1.5365	0.4163
1.6880	0.5037
1.5291	0.4375
1.6998	0.4930
1.5211	0.4595
1.7138	0.4752
1.5134	0.4792
1.7307	0.4583
1.5092	0.4945
1.7495	0.4425
1.5063	0.5042
1.7685	0.4312
1.5046	0.5080
1.7887	0.4175
1.4943	0.5057
1.8101	0.4058
1.4826	0.4985
1.8305	0.3950
1.4802	0.4895
1.8491	0.3878
1.4761	0.4742
1.8771	0.3845
1.5098	0.4578
1.9002	0.3847
1.5093	0.4383
1.9408	0.3850
1.5097	0.4220
1.9531	0.3808
1.5111	0.4103
1.9616	0.3768
1.5116	0.4037
1.9635	0.3718
1.5123	0.4028
1.9646	0.3708
